function                     mask  match   000  010  020
op_1010                , 0xf000,  0xa000, {  4,   4,   4}},
op_add_16_er_imm       , MASK_X_, 0xd07c, { 10,   8,   4}},
op_add_16_er_ix        , MASK_XY, 0xd070, { 14,  14,   9}},
op_add_16_er_pcdi      , MASK_X_, 0xd07a, { 12,  12,   7}},
op_add_16_er_pcix      , MASK_X_, 0xd07b, { 14,  14,   9}},
op_add_16_er_pd        , MASK_XY, 0xd060, { 10,  10,   7}},
op_add_16_er_pi        , MASK_XY, 0xd058, {  8,   8,   6}},
op_add_16_re_ai        , MASK_XY, 0xd150, { 12,  12,   8}},
op_add_16_re_al        , MASK_X_, 0xd179, { 20,  20,   8}},
op_add_16_re_aw        , MASK_X_, 0xd178, { 16,  16,   8}},
op_add_16_re_di        , MASK_XY, 0xd168, { 16,  16,   9}},
op_add_16_re_ix        , MASK_XY, 0xd170, { 18,  18,  11}},
op_add_16_re_pd        , MASK_XY, 0xd160, { 14,  14,   9}},
op_add_16_re_pi        , MASK_XY, 0xd158, { 12,  12,   8}},
op_add_32_er_an        , MASK_XY, 0xd088, {  6,   6,   2}},
op_add_32_er_ai        , MASK_XY, 0xd090, { 14,  14,   6}},
op_add_32_er_al        , MASK_X_, 0xd0b9, { 22,  22,   6}},
op_add_32_er_aw        , MASK_X_, 0xd0b8, { 18,  18,   6}},
op_add_32_er_dn        , MASK_XY, 0xd080, {  6,   6,   2}},
op_add_32_er_di        , MASK_XY, 0xd0a8, { 18,  18,   7}},
op_add_32_er_imm       , MASK_X_, 0xd0bc, { 16,  14,   6}},
op_add_32_er_ix        , MASK_XY, 0xd0b0, { 20,  20,   9}},
op_add_32_er_pcdi      , MASK_X_, 0xd0ba, { 18,  18,   7}},
op_add_32_er_pcix      , MASK_X_, 0xd0bb, { 20,  20,   9}},
op_add_32_er_pd        , MASK_XY, 0xd0a0, { 16,  16,   7}},
op_add_32_er_pi        , MASK_XY, 0xd098, { 14,  14,   6}},
op_add_32_re_ai        , MASK_XY, 0xd190, { 20,  20,   8}},
op_add_32_re_al        , MASK_X_, 0xd1b9, { 28,  28,   8}},
op_add_32_re_aw        , MASK_X_, 0xd1b8, { 24,  24,   8}},
op_add_32_re_di        , MASK_XY, 0xd1a8, { 24,  24,   9}},
op_add_32_re_ix        , MASK_XY, 0xd1b0, { 26,  26,  11}},
op_add_32_re_pd        , MASK_XY, 0xd1a0, { 22,  22,   9}},
op_add_32_re_pi        , MASK_XY, 0xd198, { 20,  20,   8}},
op_adda_16_an          , MASK_XY, 0xd0c8, {  8,   8,   2}},
op_adda_16_ai          , MASK_XY, 0xd0d0, { 12,  12,   6}},
op_adda_16_al          , MASK_X_, 0xd0f9, { 20,  20,   6}},
op_adda_16_aw          , MASK_X_, 0xd0f8, { 16,  16,   6}},
op_adda_16_dn          , MASK_XY, 0xd0c0, {  8,   8,   2}},
op_adda_16_di          , MASK_XY, 0xd0e8, { 16,  16,   7}},
op_adda_16_imm         , MASK_X_, 0xd0fc, { 14,  12,   4}},
op_adda_16_ix          , MASK_XY, 0xd0f0, { 18,  18,   9}},
op_adda_16_pcdi        , MASK_X_, 0xd0fa, { 16,  16,   7}},
op_adda_16_pcix        , MASK_X_, 0xd0fb, { 18,  18,   9}},
op_adda_16_pd          , MASK_XY, 0xd0e0, { 14,  14,   7}},
op_adda_16_pi          , MASK_XY, 0xd0d8, { 12,  12,   6}},
op_adda_32_an          , MASK_XY, 0xd1c8, {  6,   6,   2}},
op_adda_32_ai          , MASK_XY, 0xd1d0, { 14,  14,   6}},
op_adda_32_al          , MASK_X_, 0xd1f9, { 22,  22,   6}},
op_adda_32_aw          , MASK_X_, 0xd1f8, { 18,  18,   6}},
op_adda_32_dn          , MASK_XY, 0xd1c0, {  6,   6,   2}},
op_adda_32_di          , MASK_XY, 0xd1e8, { 18,  18,   7}},
op_adda_32_imm         , MASK_X_, 0xd1fc, { 16,  14,   6}},
op_adda_32_ix          , MASK_XY, 0xd1f0, { 20,  20,   9}},
op_adda_32_pcdi        , MASK_X_, 0xd1fa, { 18,  18,   7}},
op_adda_32_pcix        , MASK_X_, 0xd1fb, { 20,  20,   9}},
op_adda_32_pd          , MASK_XY, 0xd1e0, { 16,  16,   7}},
op_adda_32_pi          , MASK_XY, 0xd1d8, { 14,  14,   6}},
op_addi_08_ai          , MASK__Y, 0x0610, { 16,  16,   8}},
op_addi_08_al          , MASKALL, 0x0639, { 24,  24,   8}},
op_addi_08_aw          , MASKALL, 0x0638, { 20,  20,   8}},
op_addi_08_dn          , MASK__Y, 0x0600, {  8,   8,   2}},
op_addi_08_di          , MASK__Y, 0x0628, { 20,  20,   9}},
op_addi_08_ix          , MASK__Y, 0x0630, { 22,  22,  11}},
op_addi_08_pd          , MASK__Y, 0x0620, { 18,  18,   9}},
op_addi_08_pi          , MASK__Y, 0x0618, { 16,  16,   8}},
op_addi_16_ai          , MASK__Y, 0x0650, { 16,  16,   8}},
op_addi_16_al          , MASKALL, 0x0679, { 24,  24,   8}},
op_addi_16_aw          , MASKALL, 0x0678, { 20,  20,   8}},
op_addi_16_dn          , MASK__Y, 0x0640, {  8,   8,   2}},
op_addi_16_di          , MASK__Y, 0x0668, { 20,  20,   9}},
op_addi_16_ix          , MASK__Y, 0x0670, { 22,  22,  11}},
op_addi_16_pd          , MASK__Y, 0x0660, { 18,  18,   9}},
op_addi_16_pi          , MASK__Y, 0x0658, { 16,  16,   8}},
op_addi_32_ai          , MASK__Y, 0x0690, { 28,  28,   8}},
op_addi_32_al          , MASKALL, 0x06b9, { 36,  36,   8}},
op_addi_32_aw          , MASKALL, 0x06b8, { 32,  32,   8}},
op_addi_32_dn          , MASK__Y, 0x0680, { 16,  14,   2}},
op_addi_32_di          , MASK__Y, 0x06a8, { 32,  32,   9}},
op_addi_32_ix          , MASK__Y, 0x06b0, { 34,  34,  11}},
op_addi_32_pd          , MASK__Y, 0x06a0, { 30,  30,   9}},
op_addi_32_pi          , MASK__Y, 0x0698, { 28,  28,   8}},
op_addq_08_ai          , MASK_XY, 0x5010, { 12,  12,   8}},
op_addq_08_al          , MASK_X_, 0x5039, { 20,  20,   8}},
op_addq_08_aw          , MASK_X_, 0x5038, { 16,  16,   8}},
op_addq_08_dn          , MASK_XY, 0x5000, {  4,   4,   2}},
op_addq_08_di          , MASK_XY, 0x5028, { 16,  16,   9}},
op_addq_08_ix          , MASK_XY, 0x5030, { 18,  18,  11}},
op_addq_08_pd          , MASK_XY, 0x5020, { 14,  14,   9}},
op_addq_08_pi          , MASK_XY, 0x5018, { 12,  12,   8}},
op_addq_16_an          , MASK_XY, 0x5048, {  4,   4,   2}},
op_addq_16_ai          , MASK_XY, 0x5050, { 12,  12,   8}},
op_addq_16_al          , MASK_X_, 0x5079, { 20,  20,   8}},
op_addq_16_aw          , MASK_X_, 0x5078, { 16,  16,   8}},
op_addq_16_dn          , MASK_XY, 0x5040, {  4,   4,   2}},
op_addq_16_di          , MASK_XY, 0x5068, { 16,  16,   9}},
op_addq_16_ix          , MASK_XY, 0x5070, { 18,  18,  11}},
op_addq_16_pd          , MASK_XY, 0x5060, { 14,  14,   9}},
op_addq_16_pi          , MASK_XY, 0x5058, { 12,  12,   8}},
op_addq_32_an          , MASK_XY, 0x5088, {  8,   8,   2}},
op_addq_32_ai          , MASK_XY, 0x5090, { 20,  20,   8}},
op_addq_32_al          , MASK_X_, 0x50b9, { 28,  28,   8}},
op_addq_32_aw          , MASK_X_, 0x50b8, { 24,  24,   8}},
op_addq_32_dn          , MASK_XY, 0x5080, {  8,   8,   2}},
op_addq_32_di          , MASK_XY, 0x50a8, { 24,  24,   9}},
op_addq_32_ix          , MASK_XY, 0x50b0, { 26,  26,  11}},
op_addq_32_pd          , MASK_XY, 0x50a0, { 22,  22,   9}},
op_addq_32_pi          , MASK_XY, 0x5098, { 20,  20,   8}},
op_addx_08_mm          , MASK_XY, 0xd108, { 18,  18,  12}},
op_addx_08_rr          , MASK_XY, 0xd100, {  4,   4,   2}},
op_addx_16_mm          , MASK_XY, 0xd148, { 18,  18,  12}},
op_addx_16_rr          , MASK_XY, 0xd140, {  4,   4,   2}},
op_addx_32_mm          , MASK_XY, 0xd188, { 30,  30,  12}},
op_addx_32_rr          , MASK_XY, 0xd180, {  8,   6,   2}},
op_and_08_er_ai        , MASK_XY, 0xc010, {  8,   8,   6}},
op_and_08_er_al        , MASK_X_, 0xc039, { 16,  16,   6}},
op_and_08_er_aw        , MASK_X_, 0xc038, { 12,  12,   6}},
op_and_08_er_dn        , MASK_XY, 0xc000, {  4,   4,   2}},
op_and_08_er_di        , MASK_XY, 0xc028, { 12,  12,   7}},
op_and_08_er_imm       , MASK_X_, 0xc03c, { 10,   8,   4}},
op_and_08_er_ix        , MASK_XY, 0xc030, { 14,  14,   9}},
op_and_08_er_pcdi      , MASK_X_, 0xc03a, { 12,  12,   7}},
op_and_08_er_pcix      , MASK_X_, 0xc03b, { 14,  14,   9}},
op_and_08_er_pd        , MASK_XY, 0xc020, { 10,  10,   7}},
op_and_08_er_pi        , MASK_XY, 0xc018, {  8,   8,   6}},
op_and_08_re_ai        , MASK_XY, 0xc110, { 12,  12,   8}},
op_and_08_re_al        , MASK_X_, 0xc139, { 20,  20,   8}},
op_and_08_re_aw        , MASK_X_, 0xc138, { 16,  16,   8}},
op_and_08_re_di        , MASK_XY, 0xc128, { 16,  16,   9}},
op_and_08_re_ix        , MASK_XY, 0xc130, { 18,  18,  11}},
op_and_08_re_pd        , MASK_XY, 0xc120, { 14,  14,   9}},
op_and_08_re_pi        , MASK_XY, 0xc118, { 12,  12,   8}},
op_and_16_er_ai        , MASK_XY, 0xc050, {  8,   8,   6}},
op_and_16_er_al        , MASK_X_, 0xc079, { 16,  16,   6}},
op_and_16_er_aw        , MASK_X_, 0xc078, { 12,  12,   6}},
op_and_16_er_dn        , MASK_XY, 0xc040, {  4,   4,   2}},
op_and_16_er_di        , MASK_XY, 0xc068, { 12,  12,   7}},
op_and_16_er_imm       , MASK_X_, 0xc07c, { 10,   8,   4}},
op_and_16_er_ix        , MASK_XY, 0xc070, { 14,  14,   9}},
op_and_16_er_pcdi      , MASK_X_, 0xc07a, { 12,  12,   7}},
op_and_16_er_pcix      , MASK_X_, 0xc07b, { 14,  14,   9}},
op_and_16_er_pd        , MASK_XY, 0xc060, { 10,  10,   7}},
op_and_16_er_pi        , MASK_XY, 0xc058, {  8,   8,   6}},
op_and_16_re_ai        , MASK_XY, 0xc150, { 12,  12,   8}},
op_and_16_re_al        , MASK_X_, 0xc179, { 20,  20,   8}},
op_and_16_re_aw        , MASK_X_, 0xc178, { 16,  16,   8}},
op_and_16_re_di        , MASK_XY, 0xc168, { 16,  16,   9}},
op_and_16_re_ix        , MASK_XY, 0xc170, { 18,  18,  11}},
op_and_16_re_pd        , MASK_XY, 0xc160, { 14,  14,   9}},
op_and_16_re_pi        , MASK_XY, 0xc158, { 12,  12,   8}},
op_and_32_er_ai        , MASK_XY, 0xc090, { 14,  14,   6}},
op_and_32_er_al        , MASK_X_, 0xc0b9, { 22,  22,   6}},
op_and_32_er_aw        , MASK_X_, 0xc0b8, { 18,  18,   6}},
op_and_32_er_dn        , MASK_XY, 0xc080, {  6,   6,   2}},
op_and_32_er_di        , MASK_XY, 0xc0a8, { 18,  18,   7}},
op_and_32_er_imm       , MASK_X_, 0xc0bc, { 16,  14,   6}},
op_and_32_er_ix        , MASK_XY, 0xc0b0, { 20,  20,   9}},
op_and_32_er_pcdi      , MASK_X_, 0xc0ba, { 18,  18,   7}},
op_and_32_er_pcix      , MASK_X_, 0xc0bb, { 20,  20,   9}},
op_and_32_er_pd        , MASK_XY, 0xc0a0, { 16,  16,   7}},
op_and_32_er_pi        , MASK_XY, 0xc098, { 14,  14,   6}},
op_and_32_re_ai        , MASK_XY, 0xc190, { 20,  20,   8}},
op_and_32_re_al        , MASK_X_, 0xc1b9, { 28,  28,   8}},
op_and_32_re_aw        , MASK_X_, 0xc1b8, { 24,  24,   8}},
op_and_32_re_di        , MASK_XY, 0xc1a8, { 24,  24,   9}},
op_and_32_re_ix        , MASK_XY, 0xc1b0, { 26,  26,  11}},
op_and_32_re_pd        , MASK_XY, 0xc1a0, { 22,  22,   9}},
op_and_32_re_pi        , MASK_XY, 0xc198, { 20,  20,   8}},
op_andi_08_ai          , MASK__Y, 0x0210, { 16,  16,   8}},
op_andi_08_al          , MASKALL, 0x0239, { 24,  24,   8}},
op_andi_08_aw          , MASKALL, 0x0238, { 20,  20,   8}},
op_andi_08_dn          , MASK__Y, 0x0200, {  8,   8,   2}},
op_andi_08_di          , MASK__Y, 0x0228, { 20,  20,   9}},
op_andi_08_ix          , MASK__Y, 0x0230, { 22,  22,  11}},
op_andi_08_pd          , MASK__Y, 0x0220, { 18,  18,   9}},
op_andi_08_pi          , MASK__Y, 0x0218, { 16,  16,   8}},
op_andi_16_ai          , MASK__Y, 0x0250, { 16,  16,   8}},
op_andi_16_al          , MASKALL, 0x0279, { 24,  24,   8}},
op_andi_16_aw          , MASKALL, 0x0278, { 20,  20,   8}},
op_andi_16_dn          , MASK__Y, 0x0240, {  8,   8,   2}},
op_andi_16_di          , MASK__Y, 0x0268, { 20,  20,   9}},
op_andi_16_ix          , MASK__Y, 0x0270, { 22,  22,  11}},
op_andi_16_pd          , MASK__Y, 0x0260, { 18,  18,   9}},
op_andi_16_pi          , MASK__Y, 0x0258, { 16,  16,   8}},
op_andi_16_toc         , MASKALL, 0x023c, { 20,  16,  12}},
op_andi_16_tos         , MASKALL, 0x027c, { 20,  16,  12}},
op_andi_32_ai          , MASK__Y, 0x0290, { 28,  28,   8}},
op_andi_32_al          , MASKALL, 0x02b9, { 36,  36,   8}},
op_andi_32_aw          , MASKALL, 0x02b8, { 32,  32,   8}},
op_andi_32_dn          , MASK__Y, 0x0280, { 14,  14,   2}},
op_andi_32_di          , MASK__Y, 0x02a8, { 32,  32,   9}},
op_andi_32_ix          , MASK__Y, 0x02b0, { 34,  34,  11}},
op_andi_32_pd          , MASK__Y, 0x02a0, { 30,  30,   9}},
op_andi_32_pi          , MASK__Y, 0x0298, { 28,  28,   8}},
op_asl_08_r            , MASK_XY, 0xe120, {  6,   6,   8}},
op_asl_08_s            , MASK_XY, 0xe100, {  6,   6,   8}},
op_asl_16_ai           , MASK__Y, 0xe1d0, { 12,  12,  10}},
op_asl_16_al           , MASKALL, 0xe1f9, { 20,  20,  10}},
op_asl_16_aw           , MASKALL, 0xe1f8, { 16,  16,  10}},
op_asl_16_di           , MASK__Y, 0xe1e8, { 16,  16,  11}},
op_asl_16_ix           , MASK__Y, 0xe1f0, { 18,  18,  13}},
op_asl_16_pd           , MASK__Y, 0xe1e0, { 14,  14,  11}},
op_asl_16_pi           , MASK__Y, 0xe1d8, { 12,  12,  10}},
op_asl_16_r            , MASK_XY, 0xe160, {  6,   6,   8}},
op_asl_16_s            , MASK_XY, 0xe140, {  6,   6,   8}},
op_asl_32_r            , MASK_XY, 0xe1a0, {  8,   8,   8}},
op_asl_32_s            , MASK_XY, 0xe180, {  8,   8,   8}},
op_asr_08_r            , MASK_XY, 0xe020, {  6,   6,   6}},
op_asr_08_s            , MASK_XY, 0xe000, {  6,   6,   6}},
op_asr_16_ai           , MASK__Y, 0xe0d0, { 12,  12,   9}},
op_asr_16_al           , MASKALL, 0xe0f9, { 20,  20,   9}},
op_asr_16_aw           , MASKALL, 0xe0f8, { 16,  16,   9}},
op_asr_16_di           , MASK__Y, 0xe0e8, { 16,  16,  10}},
op_asr_16_ix           , MASK__Y, 0xe0f0, { 18,  18,  12}},
op_asr_16_pd           , MASK__Y, 0xe0e0, { 14,  14,  10}},
op_asr_16_pi           , MASK__Y, 0xe0d8, { 12,  12,   9}},
op_asr_16_r            , MASK_XY, 0xe060, {  6,   6,   6}},
op_asr_16_s            , MASK_XY, 0xe040, {  6,   6,   6}},
op_asr_32_r            , MASK_XY, 0xe0a0, {  8,   8,   6}},
op_asr_32_s            , MASK_XY, 0xe080, {  8,   8,   6}},
op_bcc_08              , MASK_LO, 0x6400, {  8,   8,   6}},
op_bcc_16              , MASKALL, 0x6400, { 10,  10,   6}},
op_bcc_32              , MASKALL, 0x64ff, {  0,   0,   6}},
op_bchg_08_r_ai        , MASK_XY, 0x0150, { 12,  12,   8}},
op_bchg_08_r_al        , MASK_X_, 0x0179, { 20,  20,   8}},
op_bchg_08_r_aw        , MASK_X_, 0x0178, { 16,  16,   8}},
op_bchg_08_r_di        , MASK_XY, 0x0168, { 16,  16,   9}},
op_bchg_08_r_ix        , MASK_XY, 0x0170, { 18,  18,  11}},
op_bchg_08_r_pd        , MASK_XY, 0x0160, { 14,  14,   9}},
op_bchg_08_r_pi        , MASK_XY, 0x0158, { 12,  12,   8}},
op_bchg_08_s_ai        , MASK__Y, 0x0850, { 16,  16,   8}},
op_bchg_08_s_al        , MASKALL, 0x0879, { 24,  24,   8}},
op_bchg_08_s_aw        , MASKALL, 0x0878, { 20,  20,   8}},
op_bchg_08_s_di        , MASK__Y, 0x0868, { 20,  20,   9}},
op_bchg_08_s_ix        , MASK__Y, 0x0870, { 22,  22,  11}},
op_bchg_08_s_pd        , MASK__Y, 0x0860, { 18,  18,   9}},
op_bchg_08_s_pi        , MASK__Y, 0x0858, { 16,  16,   8}},
op_bchg_32_r_dn        , MASK_XY, 0x0140, {  8,   8,   4}},
op_bchg_32_s_dn        , MASK__Y, 0x0840, { 12,  12,   4}},
op_bclr_08_r_ai        , MASK_XY, 0x0190, { 12,  14,   8}},
op_bclr_08_r_al        , MASK_X_, 0x01b9, { 20,  22,   8}},
op_bclr_08_r_aw        , MASK_X_, 0x01b8, { 16,  18,   8}},
op_bclr_08_r_di        , MASK_XY, 0x01a8, { 16,  18,   9}},
op_bclr_08_r_ix        , MASK_XY, 0x01b0, { 18,  20,  11}},
op_bclr_08_r_pd        , MASK_XY, 0x01a0, { 14,  16,   9}},
op_bclr_08_r_pi        , MASK_XY, 0x0198, { 12,  14,   8}},
op_bclr_08_s_ai        , MASK__Y, 0x0890, { 16,  16,   8}},
op_bclr_08_s_al        , MASKALL, 0x08b9, { 24,  24,   8}},
op_bclr_08_s_aw        , MASKALL, 0x08b8, { 20,  20,   8}},
op_bclr_08_s_di        , MASK__Y, 0x08a8, { 20,  20,   9}},
op_bclr_08_s_ix        , MASK__Y, 0x08b0, { 22,  22,  11}},
op_bclr_08_s_pd        , MASK__Y, 0x08a0, { 18,  18,   9}},
op_bclr_08_s_pi        , MASK__Y, 0x0898, { 16,  16,   8}},
op_bclr_32_r_dn        , MASK_XY, 0x0180, { 10,  10,   4}},
op_bclr_32_s_dn        , MASK__Y, 0x0880, { 14,  14,   4}},
op_bcs_08              , MASK_LO, 0x6500, {  8,   8,   6}},
op_bcs_16              , MASKALL, 0x6500, { 10,  10,   6}},
op_bcs_32              , MASKALL, 0x65ff, {  0,   0,   6}},
op_beq_08              , MASK_LO, 0x6700, {  8,   8,   6}},
op_beq_16              , MASKALL, 0x6700, { 10,  10,   6}},
op_beq_32              , MASKALL, 0x67ff, {  0,   0,   6}},
op_bfchg_32_ai         , MASK__Y, 0xead0, {  0,   0,  24}},
op_bfchg_32_al         , MASKALL, 0xeaf9, {  0,   0,  24}},
op_bfchg_32_aw         , MASKALL, 0xeaf8, {  0,   0,  24}},
op_bfchg_32_dn         , MASK__Y, 0xeac0, {  0,   0,  12}},
op_bfchg_32_di         , MASK__Y, 0xeae8, {  0,   0,  25}},
op_bfchg_32_ix         , MASK__Y, 0xeaf0, {  0,   0,  27}},
op_bfclr_32_ai         , MASK__Y, 0xecd0, {  0,   0,  24}},
op_bfclr_32_al         , MASKALL, 0xecf9, {  0,   0,  24}},
op_bfclr_32_aw         , MASKALL, 0xecf8, {  0,   0,  24}},
op_bfclr_32_dn         , MASK__Y, 0xecc0, {  0,   0,  12}},
op_bfclr_32_di         , MASK__Y, 0xece8, {  0,   0,  25}},
op_bfclr_32_ix         , MASK__Y, 0xecf0, {  0,   0,  27}},
op_bfexts_32_ai        , MASK__Y, 0xebd0, {  0,   0,  19}},
op_bfexts_32_al        , MASKALL, 0xebf9, {  0,   0,  19}},
op_bfexts_32_aw        , MASKALL, 0xebf8, {  0,   0,  19}},
op_bfexts_32_dn        , MASK__Y, 0xebc0, {  0,   0,   8}},
op_bfexts_32_di        , MASK__Y, 0xebe8, {  0,   0,  20}},
op_bfexts_32_ix        , MASK__Y, 0xebf0, {  0,   0,  22}},
op_bfexts_32_pcdi      , MASKALL, 0xebfa, {  0,   0,  20}},
op_bfexts_32_pcix      , MASKALL, 0xebfb, {  0,   0,  22}},
op_bfextu_32_ai        , MASK__Y, 0xe9d0, {  0,   0,  19}},
op_bfextu_32_al        , MASKALL, 0xe9f9, {  0,   0,  19}},
op_bfextu_32_aw        , MASKALL, 0xe9f8, {  0,   0,  19}},
op_bfextu_32_dn        , MASK__Y, 0xe9c0, {  0,   0,   8}},
op_bfextu_32_di        , MASK__Y, 0xe9e8, {  0,   0,  20}},
op_bfextu_32_ix        , MASK__Y, 0xe9f0, {  0,   0,  22}},
op_bfextu_32_pcdi      , MASKALL, 0xe9fa, {  0,   0,  20}},
op_bfextu_32_pcix      , MASKALL, 0xe9fb, {  0,   0,  22}},
op_bfffo_32_ai         , MASK__Y, 0xedd0, {  0,   0,  32}},
op_bfffo_32_al         , MASKALL, 0xedf9, {  0,   0,  32}},
op_bfffo_32_aw         , MASKALL, 0xedf8, {  0,   0,  32}},
op_bfffo_32_dn         , MASK__Y, 0xedc0, {  0,   0,  18}},
op_bfffo_32_di         , MASK__Y, 0xede8, {  0,   0,  33}},
op_bfffo_32_ix         , MASK__Y, 0xedf0, {  0,   0,  35}},
op_bfffo_32_pcdi       , MASKALL, 0xedfa, {  0,   0,  33}},
op_bfffo_32_pcix       , MASKALL, 0xedfb, {  0,   0,  35}},
op_bfins_32_ai         , MASK__Y, 0xefd0, {  0,   0,  21}},
op_bfins_32_al         , MASKALL, 0xeff9, {  0,   0,  21}},
op_bfins_32_aw         , MASKALL, 0xeff8, {  0,   0,  21}},
op_bfins_32_dn         , MASK__Y, 0xefc0, {  0,   0,  10}},
op_bfins_32_di         , MASK__Y, 0xefe8, {  0,   0,  22}},
op_bfins_32_ix         , MASK__Y, 0xeff0, {  0,   0,  24}},
op_bfset_32_ai         , MASK__Y, 0xeed0, {  0,   0,  24}},
op_bfset_32_al         , MASKALL, 0xeef9, {  0,   0,  24}},
op_bfset_32_aw         , MASKALL, 0xeef8, {  0,   0,  24}},
op_bfset_32_dn         , MASK__Y, 0xeec0, {  0,   0,  12}},
op_bfset_32_di         , MASK__Y, 0xeee8, {  0,   0,  25}},
op_bfset_32_ix         , MASK__Y, 0xeef0, {  0,   0,  27}},
op_bftst_32_ai         , MASK__Y, 0xe8d0, {  0,   0,  17}},
op_bftst_32_al         , MASKALL, 0xe8f9, {  0,   0,  17}},
op_bftst_32_aw         , MASKALL, 0xe8f8, {  0,   0,  17}},
op_bftst_32_dn         , MASK__Y, 0xe8c0, {  0,   0,   6}},
op_bftst_32_di         , MASK__Y, 0xe8e8, {  0,   0,  18}},
op_bftst_32_ix         , MASK__Y, 0xe8f0, {  0,   0,  20}},
op_bftst_32_pcdi       , MASKALL, 0xe8fa, {  0,   0,  18}},
op_bftst_32_pcix       , MASKALL, 0xe8fb, {  0,   0,  20}},
op_bge_08              , MASK_LO, 0x6c00, {  8,   8,   6}},
op_bge_16              , MASKALL, 0x6c00, { 10,  10,   6}},
op_bge_32              , MASKALL, 0x6cff, {  0,   0,   6}},
op_bgt_08              , MASK_LO, 0x6e00, {  8,   8,   6}},
op_bgt_16              , MASKALL, 0x6e00, { 10,  10,   6}},
op_bgt_32              , MASKALL, 0x6eff, {  0,   0,   6}},
op_bhi_08              , MASK_LO, 0x6200, {  8,   8,   6}},
op_bhi_16              , MASKALL, 0x6200, { 10,  10,   6}},
op_bhi_32              , MASKALL, 0x62ff, {  0,   0,   6}},
op_bkpt                , MASK__Y, 0x4848, {  0,  10,  10}},
op_ble_08              , MASK_LO, 0x6f00, {  8,   8,   6}},
op_ble_16              , MASKALL, 0x6f00, { 10,  10,   6}},
op_ble_32              , MASKALL, 0x6fff, {  0,   0,   6}},
op_bls_08              , MASK_LO, 0x6300, {  8,   8,   6}},
op_bls_16              , MASKALL, 0x6300, { 10,  10,   6}},
op_bls_32              , MASKALL, 0x63ff, {  0,   0,   6}},
op_blt_08              , MASK_LO, 0x6d00, {  8,   8,   6}},
op_blt_16              , MASKALL, 0x6d00, { 10,  10,   6}},
op_blt_32              , MASKALL, 0x6dff, {  0,   0,   6}},
op_bmi_08              , MASK_LO, 0x6b00, {  8,   8,   6}},
op_bmi_16              , MASKALL, 0x6b00, { 10,  10,   6}},
op_bmi_32              , MASKALL, 0x6bff, {  0,   0,   6}},
op_bne_08              , MASK_LO, 0x6600, {  8,   8,   6}},
op_bne_16              , MASKALL, 0x6600, { 10,  10,   6}},
op_bne_32              , MASKALL, 0x66ff, {  0,   0,   6}},
op_bpl_08              , MASK_LO, 0x6a00, {  8,   8,   6}},
op_bpl_16              , MASKALL, 0x6a00, { 10,  10,   6}},
op_bpl_32              , MASKALL, 0x6aff, {  0,   0,   6}},
op_bra_08              , MASK_LO, 0x6000, { 10,  10,  10}},
op_bra_16              , MASKALL, 0x6000, { 10,  10,  10}},
op_bra_32              , MASKALL, 0x60ff, {  0,   0,  10}},
op_bset_08_r_ai        , MASK_XY, 0x01d0, { 12,  12,   8}},
op_bset_08_r_al        , MASK_X_, 0x01f9, { 20,  20,   8}},
op_bset_08_r_aw        , MASK_X_, 0x01f8, { 16,  16,   8}},
op_bset_08_r_di        , MASK_XY, 0x01e8, { 16,  16,   9}},
